symbol,tour,bet,pnl
BLIND_1,1,10.0,-10.0
BLIND_1,2,20.0,-20.0
BLIND_1,3,40.0,40.0
BLIND_1,4,10.0,-10.0
BLIND_1,5,20.0,20.0
BLIND_1,6,10.0,10.0
BLIND_1,7,10.0,-10.0
BLIND_1,8,20.0,-20.0
BLIND_1,9,40.0,40.0
BLIND_1,10,10.0,10.0
BLIND_2,1,10.0,10.0
BLIND_2,2,10.0,10.0
BLIND_2,3,10.0,10.0
BLIND_2,4,10.0,-10.0
BLIND_2,5,20.0,-20.0
BLIND_2,6,40.0,-40.0
BLIND_2,7,80.0,80.0
BLIND_2,8,10.0,10.0
BLIND_2,9,10.0,10.0
BLIND_2,10,10.0,-10.0
BLIND_3,1,10.0,-10.0
BLIND_3,2,20.0,20.0
BLIND_3,3,10.0,10.0
BLIND_3,4,10.0,-10.0
BLIND_3,5,20.0,20.0
BLIND_3,6,10.0,10.0
BLIND_3,7,10.0,-10.0
BLIND_3,8,20.0,20.0
BLIND_3,9,10.0,10.0
BLIND_3,10,10.0,-10.0
BLIND_4,1,10.0,-10.0
BLIND_4,2,20.0,20.0
BLIND_4,3,10.0,-10.0
BLIND_4,4,20.0,20.0
BLIND_4,5,10.0,10.0
BLIND_4,6,10.0,10.0
BLIND_4,7,10.0,10.0
BLIND_4,8,10.0,10.0
BLIND_4,9,10.0,10.0
BLIND_4,10,10.0,-10.0
BLIND_5,1,10.0,-10.0
BLIND_5,2,20.0,20.0
BLIND_5,3,10.0,-10.0
BLIND_5,4,20.0,20.0
BLIND_5,5,10.0,-10.0
BLIND_5,6,20.0,-20.0
BLIND_5,7,40.0,-40.0
BLIND_5,8,80.0,80.0
BLIND_5,9,10.0,10.0
BLIND_5,10,10.0,10.0
BLIND_6,1,10.0,-10.0
BLIND_6,2,20.0,-20.0
BLIND_6,3,40.0,-40.0
BLIND_6,4,80.0,-80.0
BLIND_6,5,160.0,-160.0
BLIND_6,6,320.0,320.0
BLIND_6,7,10.0,-10.0
BLIND_6,8,20.0,20.0
BLIND_6,9,10.0,-10.0
BLIND_6,10,20.0,20.0
BLIND_7,1,10.0,-10.0
BLIND_7,2,20.0,-20.0
BLIND_7,3,40.0,-40.0
BLIND_7,4,80.0,-80.0
BLIND_7,5,160.0,160.0
BLIND_7,6,10.0,10.0
BLIND_7,7,10.0,-10.0
BLIND_7,8,20.0,-20.0
BLIND_7,9,40.0,-40.0
BLIND_7,10,80.0,-80.0
BLIND_8,1,10.0,10.0
BLIND_8,2,10.0,-10.0
BLIND_8,3,20.0,-20.0
BLIND_8,4,40.0,40.0
BLIND_8,5,10.0,10.0
BLIND_8,6,10.0,10.0
BLIND_8,7,10.0,-10.0
BLIND_8,8,20.0,20.0
BLIND_8,9,10.0,-10.0
BLIND_8,10,20.0,20.0
BLIND_9,1,10.0,10.0
BLIND_9,2,10.0,10.0
BLIND_9,3,10.0,10.0
BLIND_9,4,10.0,-10.0
BLIND_9,5,20.0,-20.0
BLIND_9,6,40.0,40.0
BLIND_9,7,10.0,10.0
BLIND_9,8,10.0,10.0
BLIND_9,9,10.0,-10.0
BLIND_9,10,20.0,-20.0
BLIND_10,1,10.0,-10.0
BLIND_10,2,20.0,20.0
BLIND_10,3,10.0,-10.0
BLIND_10,4,20.0,-20.0
BLIND_10,5,40.0,40.0
BLIND_10,6,10.0,-10.0
BLIND_10,7,20.0,-20.0
BLIND_10,8,40.0,40.0
BLIND_10,9,10.0,-10.0
BLIND_10,10,20.0,20.0
BLIND_11,1,10.0,-10.0
BLIND_11,2,20.0,20.0
BLIND_11,3,10.0,10.0
BLIND_11,4,10.0,10.0
BLIND_11,5,10.0,-10.0
BLIND_11,6,20.0,20.0
BLIND_11,7,10.0,10.0
BLIND_11,8,10.0,10.0
BLIND_11,9,10.0,10.0
BLIND_11,10,10.0,-10.0
BLIND_12,1,10.0,10.0
BLIND_12,2,10.0,-10.0
BLIND_12,3,20.0,20.0
BLIND_12,4,10.0,10.0
BLIND_12,5,10.0,10.0
BLIND_12,6,10.0,10.0
BLIND_12,7,10.0,10.0
BLIND_12,8,10.0,10.0
BLIND_12,9,10.0,10.0
BLIND_12,10,10.0,-10.0
BLIND_13,1,10.0,-10.0
BLIND_13,2,20.0,20.0
BLIND_13,3,10.0,10.0
BLIND_13,4,10.0,10.0
BLIND_13,5,10.0,10.0
BLIND_13,6,10.0,10.0
BLIND_13,7,10.0,10.0
BLIND_13,8,10.0,10.0
BLIND_13,9,10.0,-10.0
BLIND_13,10,20.0,20.0
BLIND_14,1,10.0,-10.0
BLIND_14,2,20.0,-20.0
BLIND_14,3,40.0,-40.0
BLIND_14,4,80.0,-80.0
BLIND_14,5,160.0,-160.0
BLIND_14,6,320.0,-320.0
BLIND_14,7,640.0,-640.0
BLIND_14,8,1280.0,-1280.0
BLIND_14,9,2560.0,-2560.0
BLIND_14,10,5120.0,-5120.0
BLIND_15,1,10.0,-10.0
BLIND_15,2,20.0,20.0
BLIND_15,3,10.0,-10.0
BLIND_15,4,20.0,-20.0
BLIND_15,5,40.0,-40.0
BLIND_15,6,80.0,80.0
BLIND_15,7,10.0,10.0
BLIND_15,8,10.0,-10.0
BLIND_15,9,20.0,20.0
BLIND_15,10,10.0,-10.0
BLIND_16,1,10.0,10.0
BLIND_16,2,10.0,-10.0
BLIND_16,3,20.0,-20.0
BLIND_16,4,40.0,-40.0
BLIND_16,5,80.0,80.0
BLIND_16,6,10.0,10.0
BLIND_16,7,10.0,10.0
BLIND_16,8,10.0,-10.0
BLIND_16,9,20.0,-20.0
BLIND_16,10,40.0,-40.0
BLIND_17,1,10.0,-10.0
BLIND_17,2,20.0,-20.0
BLIND_17,3,40.0,40.0
BLIND_17,4,10.0,-10.0
BLIND_17,5,20.0,-20.0
BLIND_17,6,40.0,40.0
BLIND_17,7,10.0,-10.0
BLIND_17,8,20.0,-20.0
BLIND_17,9,40.0,-40.0
BLIND_17,10,80.0,80.0
BLIND_18,1,10.0,-10.0
BLIND_18,2,20.0,-20.0
