Paire,Timeframe,Momentum (%),P(Vert|2Verts) (%),P(Rouge|2Rouges) (%),N_streaks_verts,N_streaks_rouges
BNBUSDT,1m,4.287790697674421,52.32558139534884,56.25,258,272
BTCUSDT,1m,2.565116209684637,49.17355371900827,55.95667870036101,242,277
USDCUSDT,5m,1.5616999487967242,28.57142857142857,74.55197132616487,56,558
ZECUSDT,1m,1.4861978834629586,50.403225806451616,52.569169960474305,248,253
DOGEUSDT,1m,1.1143478059832597,49.794238683127574,52.43445692883895,243,267
SOLUSDT,1m,0.7825148407987065,48.62385321100918,52.94117647058824,218,289
BTCUSDT,1h,0.6250362971136542,48.63813229571984,52.61194029850746,257,268
TRUMPUSDT,5m,0.14395631670389986,51.76470588235295,48.52320675105485,255,237
XRPUSDT,1m,-0.2129192872117408,45.75471698113208,53.81944444444444,212,288
DOGEUSDT,1h,-0.31072106261859633,50.588235294117645,48.79032258064516,255,248
FDUSDUSDT,1m,-0.868055555555558,22.22222222222222,76.04166666666666,45,576
USDCUSDT,1h,-0.8765588288451143,27.27272727272727,70.9741550695825,77,503
ETHUSDT,1m,-0.8968058968058995,47.2972972972973,50.90909090909091,222,275
BNBUSDT,5m,-1.1166334237975362,48.739495798319325,49.0272373540856,238,257
SOLUSDT,1h,-1.4929619646600778,50.18867924528302,46.82539682539682,265,252
USDCUSDT,15m,-1.6567460317460314,22.22222222222222,74.46428571428572,54,560
BTCUSDT,15m,-1.6885964912280726,49.122807017543856,47.5,228,240
ZECUSDT,1h,-1.8115942028985503,50.0,46.3768115942029,274,207
ETHUSDT,1h,-2.0468809433244584,44.76987447698745,51.13636363636363,239,264
SOLUSDT,15m,-2.2365245374094926,47.34513274336283,48.18181818181818,226,220
SOLUSDT,5m,-2.2396694214876027,47.5206611570248,48.0,242,250
USDCUSDT,1m,-2.2810449268046487,19.642857142857142,75.79505300353357,56,566
ETHUSDT,5m,-2.356218006624511,46.913580246913575,48.3739837398374,243,246
FDUSDUSDT,1h,-2.6842105263157863,27.631578947368425,67.0,76,500
TRUMPUSDT,15m,-2.836827038507708,52.244897959183675,42.081447963800905,245,221
FDUSDUSDT,15m,-2.8740773876090335,23.52941176470588,70.72243346007605,68,526
XRPUSDT,15m,-2.88172788172788,45.94594594594595,48.29059829059829,222,234
XRPUSDT,1h,-3.4635770826795005,44.72573839662447,48.34710743801653,237,242
FDUSDUSDT,5m,-3.8136956910423736,14.893617021276595,77.47899159663866,47,595
ETHUSDT,15m,-3.9462230389786246,48.97959183673469,43.127962085308056,245,211
TRUMPUSDT,1m,-4.110341103411031,40.487804878048784,51.291512915129154,205,271
ZECUSDT,15m,-4.65858577946619,46.288209606986904,44.39461883408072,229,223
DOGEUSDT,5m,-4.750354255230474,41.3953488372093,49.10394265232975,215,279
ZECUSDT,5m,-4.820249449743214,45.53191489361702,44.827586206896555,235,261
BNBUSDT,15m,-4.89632728963273,43.09623430962343,47.11111111111111,239,225
XRPUSDT,5m,-4.960317460317462,42.857142857142854,47.22222222222222,231,252
TRUMPUSDT,1h,-4.988994864269991,38.297872340425535,51.724137931034484,188,290
BNBUSDT,1h,-5.338906688025633,46.590909090909086,42.731277533039645,264,227
BTCUSDT,5m,-5.486893433956763,43.49775784753363,45.52845528455284,223,246
DOGEUSDT,15m,-7.880010411244146,42.64705882352941,41.5929203539823,204,226
